year,a,b,c
01,14019496,8464595,22484091
02,8048675,8617498,16666173
03,3899544,7423563,11323107
04,3255669,9465970,12721639
05,5560234,12110506,17670740
06,5647112,8554845,14201957
07,11234744,12196982,23431726
08,21091823,9810318,30902141
09,11275311,7457732,18733043
10,6397661,8528868,14926529
11,10414836,4861142,15275978
12,12096777,6865622,18962399
