b,c,e
변호인,2013-12-18,5687571
겨울왕국,2014-01-16,10296101
수상한 그녀,2014-01-22,8657982
엣지 오브 투모로우,2014-06-04,4699307
트랜스포머: 사라진 시대,2014-06-25,5295836
군도: 민란의 시대,2014-07-23,4774931
명량,2014-07-30,17613682
해적: 바다로 간 산적,2014-08-06,8666046
인터스텔라,2014-11-06,10105247
국제시장,2014-12-17,5345677
