b,c,e
추격자,2008-02-14,5046096
아이언맨,2008-04-30,4290816
인디아나 존스 4,2008-05-22,4111753
쿵푸 팬더,2008-06-05,4653929
강철중,2008-06-19,4313101
"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,6684933
미이라 3,2008-07-30,4090885
다크 나이트,2008-08-06,4060490
맘마미아!,2008-09-03,4552475
과속스캔들,2008-12-03,4361509
