year,a,b,c
01,7535688,8989906,16525594
02,5571657,5584645,11156302
03,2939700,4893097,7832797
04,3649254,4199419,7848673
05,7932251,8214281,16146532
06,4697252,8266230,12963482
07,8338377,8010742,16349119
08,14343962,7074335,21418297
09,5623379,271301,8336580
10,5837194,3519892,9357086
11,4321561,6343991,10665552
12,4854572,11944068,16798640
