b,c,e
과속스캔들,2008-12-03,3861757
쌍화점,2008-12-30,3296474
7급 공무원,2009-04-22,4039891
터미네이터 : 미래전쟁의 시작,2009-05-21,4499776
거북이 달린다,2009-06-11,3024666
트랜스포머: 패자의 역습,2009-06-24,7392990
해운대,2009-07-22,11324433
국가대표,2009-07-29,8035181
2012,2009-11-12,5390201
아바타,2009-12-17,5150667
