year,a,b,c
01,14470890,4092934,18563824
02,8876071,3238403,12114474
03,6260244,2454890,8715134
04,4323359,4301686,8625045
05,4616475,8557974,13174449
06,2933874,7120267,10054141
07,7921545,6657845,14579390
08,12511315,2892565,15403880
09,7048275,1575967,8624242
10,10082105,1731097,11813202
11,4254438,3402738,7657176
12,8447029,6484049,14931078
