year,a,b,c
01,8272156,6740989,15013145
02,9890082,3056032,12946114
03,2704924,6726529,9431453
04,4583706,3090484,7674190
05,3247583,8912011,12159594
06,3287780,7914375,11202155
07,3254651,14155319,17409970
08,16364639,4376404,20741043
09,7590383,3646836,11237219
10,5502608,3152806,8655414
11,5416668,4064479,9481147
12,5675823,10395725,16071548
