year,a,b,c
01,8025283,4355642,12380925
02,8528145,5025440,13553585
03,2749206,5654761,8403967
04,4165262,3353594,7518856
05,5179519,8684814,13864333
06,4168252,8530647,12698899
07,5944260,12389087,18333347
08,13844488,6217482,20061970
09,9820541,3596495,13417036
10,8423022,3985567,12408589
11,5757459,4563713,10321172
12,6262752,10499034,16761786
