b,c,e
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,4719872
어벤져스,2012-04-26,7074867
내 아내의 모든 것,2012-05-17,4598821
어메이징 스파이더맨,2012-06-28,4853123
연가시,2012-07-05,4515833
다크 나이트 라이즈,2012-07-19,6396528
도둑들,2012-07-25,12983178
바람과 함께 사라지다,2012-08-08,4909937
"광해, 왕이 된 남자",2012-09-13,12319390
늑대소년,2012-10-31,6654390
