b,c,e
말아톤,2005-01-27,4196840
공공의 적 2,2005-01-27,3134421
미스터 & 미세스 스미스,2005-06-16,2963193
아일랜드,2005-07-21,3218811
친절한 금자씨,2005-07-29,3119682
웰컴 투 동막골,2005-08-04,6436508
가문의 위기(가문의 영광2),2005-09-07,4529876
너는 내 운명,2005-09-23,2701230
해리 포터와 불의 잔,2005-12-01,3301353
태풍,2005-12-14,3035086
