year,a,b,c
01,139399,1646718,1786117
02,680320,2431600,3111920
03,389126,2867384,3256510
04,1112007,1450278,2562285
05,799893,3579581,4379474
06,698702,4229289,4927991
07,2121850,4854601,6976451
08,6021568,1888513,7910081
09,2661866,2750456,5412322
10,834886,4357253,5192139
11,1697698,4814512,6512210
12,1061698,7439236,8500934
