year,a,b,c
01,12685442,10569816,23255258
02,8899613,6281782,15181395
03,4369444,9486001,13855445
04,4284843,6929324,11214167
05,6470245,12209961,18680206
06,4909675,10194164,15103839
07,6862644,14494519,21357163
08,21381562,8503784,29885346
09,5986904,6732989,12719893
10,12963728,8622181,21585909
11,6426532,6729398,13155930
12,18666435,5215241,23881676
