year,a,b,c
01,8242562,8386088,16628650
02,9912005,3153433,13065438
03,6832444,4560306,11392750
04,5061100,6932263,11993363
05,6752629,9217487,15970116
06,7660710,6550805,14211515
07,10043083,10921393,20964476
08,17010728,7227985,24238713
09,10167464,4429929,14597393
10,10468559,4820162,15288721
11,11701351,4245900,15947251
12,11058956,9533245,20592201
