year,a,b,c
01,13611121,9985478,23596599
02,9912782,8645599,18558381
03,3253459,9151463,12404922
04,2017985,7188499,9206484
05,8289355,8572744,16862099
06,4454267,11435045,15889312
07,10235204,9641618,19876822
08,25094344,7124960,32219304
09,7938374,9146475,17084849
10,6731794,5770979,12502773
11,3253828,11936579,15190407
12,12911409,8765597,21677006
