b,c,e
왕의 남자,2005-12-29,9793917
투사부일체,2006-01-19,5074314
미션 임파서블 3,2006-05-03,5127003
다빈치 코드,2006-05-18,3022936
캐리비안의 해적 : 망자의 함,2006-07-06,3911617
한반도,2006-07-13,3331593
괴물,2006-07-27,10917153
가문의 부활 - 가문의 영광3,2006-09-21,2598859
타짜,2006-09-28,5685441
미녀는 괴로워,2006-12-14,3224865
