year,a,b,c
01,7634699,9273883,16908582
02,13267625,8045081,21312706
03,4031857,7234875,11266732
04,3252666,6742706,9995372
05,8368494,9762703,18131197
06,7249926,9770143,17020069
07,15777301,10460571,26237872
08,20547734,9393187,29940921
09,10374580,5834214,16208794
10,8340017,8819911,17159928
11,4588229,8094590,12682819
12,13122761,7038429,20161190
