year,a,b,c
01,6481317,10071699,16553016
02,7549613,5664713,13214326
03,2912277,5502251,8414528
04,2576298,4887020,7463318
05,5125739,8185350,13311089
06,5421000,5351827,10772827
07,6340043,10377935,16717978
08,7968306,11408175,19376481
09,7172784,4549982,11722766
10,4751223,3124235,7875458
11,5478352,2940151,8418503
12,7066223,6852701,13918924
